date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
05-07-2023,2023,Wells Fargo,pga_rd4_sd,9411,292.05,200.65,223.45,94,28.31,0.8,34.0,42,20.96,3,2,05-07-2023 Wells Fargo R4 SD.csv
05-10-2026,2026,Truist Championship,pga_rd4_sd,4705,339.9,205.59,230.25,47,16.94,1.85,100.0,1,17.5,2,3,05-10-2026 Truist Championship R4 SD.csv
05-11-2025,2025,Truist Championship,pga_rd4_sd,5882,336.55,212.76,236.68,59,19.51,1.53,86.4,2,17.77,1,4,05-11-2025 Truist Championship R4 SD.csv
05-12-2024,2024,Wells Fargo Championship,pga_rd4_sd,9401,320.5,184.85,213.7,94,22.93,0.88,35.1,90,18.85,2,4,05-12-2024 Wells Fargo Championship R4 SD.csv
05-14-2023,2023,Byron Nelson,pga_rd4_sd,8823,448.75,317.95,345.75,88,18.64,1.65,87.5,5,16.18,2,2,05-14-2023 Byron Nelson R4 SD.csv
05-17-2026,2026,PGA Championship,pga_rd4_sd,14117,321.1,180.6,201.1,100,13.64,2.59,96.0,2,13.71,3,3,05-17-2026 PGA Championship R4 SD.csv
05-18-2025,2025,PGA Championship,pga_rd4_sd,18333,293.95,173.1,194.05,100,15.39,3.59,94.0,2,16.13,4,3,05-18-2025 PGA Championship R4 SD.csv
05-19-2024,2024,PGA Championship,pga_rd4_sd,18823,367.45,248.15,273.55,100,16.82,1.98,88.0,2,15.89,2,2,05-19-2024 PGA Championship R4 SD.csv
05-21-2023,2023,PGA Championship,pga_rd4_sd,18823,329.3,206.75,231.85,100,21.11,2.04,75.0,4,21.74,2,4,05-21-2023 PGA Championship R4 SD.csv
05-24-2026,2026,CJ Cup Byron Nelson,pga_rd4_sd,4705,409.8,278.45,307.35,47,18.83,1.85,80.9,5,15.94,3,1,05-24-2026 The CJ Cup Byron Nelson R4 SD.csv
05-25-2025,2025,Charles Schwab Challenge,pga_rd4_sd,9411,139.65,40.5,49.95,94,10.89,3.73,97.9,2,9.43,4,1,05-25-2025 Charles Schwab Challenge R4 SD.csv
05-26-2024,2024,Charles Schwab Challenge,pga_rd4_sd,12976,269.6,144.65,168.65,100,19.63,2.01,85.0,5,10.58,3,4,05-26-2024 Charles Schwab Challenge R4 SD.csv
05-26-2025,2025,Charles Schwab Challenge,pga_rd4_sd,9411,278.95,171.9,190.95,94,15.46,2.09,97.9,2,15.44,3,5,05-26-2025 Charles Schwab Challenge R4 SD.csv
05-28-2023,2023,Charles Schwab,pga_rd4_sd,13668,297.8,142.55,165.9,100,14.3,2.93,92.0,2,14.61,3,3,05-28-2023 Charles Schwab R4 SD.csv
05-31-2026,2026,Charles Schwab Challenge,pga_rd4_sd,7058,311.65,187.5,213.12,71,17.95,1.34,84.5,3,18.38,1,3,05-31-2026 Charles Schwab Challenge R4 SD.csv
06-01-2025,2025,Memorial,pga_rd4_sd,11764,294.85,188.05,207.85,100,18.91,2.03,81.0,4,21.36,1,4,06-01-2025 The Memorial R4 SD.csv
06-02-2024,2024,RBC Canadian Open,pga_rd4_sd,9411,374.65,227.15,258.05,94,20.57,0.83,62.8,9,21.45,1,3,06-02-2024 RBC Canadian Open R4 SD.csv
06-04-2023,2023,Memorial,pga_rd4_sd,14117,267.95,124.5,153.2,100,15.38,1.6,84.0,5,12.48,2,5,06-04-2023 The Memorial R4 SD.csv
06-07-2026,2026,Memorial,pga_rd4_sd,7058,371.15,240.25,266.05,71,19.9,1.11,76.1,3,17.68,2,1,06-07-2026 The Memorial R4 SD.csv
06-08-2025,2025,RBC Canadian Open,pga_rd4_sd,9411,367.35,248.9,272.8,94,21.2,1.17,72.3,6,21.27,1,1,06-08-2025 RBC Canadian Open R4 SD.csv
06-09-2024,2024,Memorial,pga_rd4_sd,14117,248.8,135.2,155.85,100,18.18,1.71,82.0,5,18.3,2,3,06-09-2024 The Memorial R4 SD.csv
06-11-2023,2023,Canadian Open,pga_rd4_sd,9411,382.4,240.15,266.85,94,17.9,2.0,87.2,2,15.18,3,2,06-11-2023 Canadian Open R4 SD.csv
06-15-2025,2025,US Open,pga_rd4_sd,18823,230.05,128.67,146.65,100,15.32,1.96,96.0,2,15.81,2,3,06-15-2025 US Open R4 SD.csv
